Store_ID,Store_Name,State,Region,Store_Size_sqft,Years_Open,Monthly_Revenue,Monthly_Costs,Customer_Count,Avg_Transaction,Online_Orders_Pct,Customer_Satisfaction,Has_AI_Chatbot,Employee_Count,Inventory_Turnover
S001,Perth Central,WA,West,15000,12,450000,285000,8500,52.94,15,4.2,No,28,6.2
S002,Sydney CBD,NSW,East,18000,8,680000,420000,12000,56.67,22,4.5,Yes,35,7.8
S003,Melbourne Metro,VIC,East,16500,10,590000,368000,10500,56.19,18,4.3,No,32,7.1
S004,Brisbane North,QLD,East,14000,6,425000,270000,7800,54.49,25,4.6,Yes,26,8.2
S005,Adelaide Hills,SA,South,12000,15,320000,215000,6200,51.61,12,3.9,No,22,5.8
S006,Perth South,WA,West,13500,9,380000,242000,7100,53.52,16,4.1,No,24,6.5
S007,Sydney West,NSW,East,17000,5,620000,385000,11200,55.36,28,4.7,Yes,33,8.5
S008,Melbourne East,VIC,East,15500,11,520000,330000,9400,55.32,19,4.2,No,29,7.0
S009,Brisbane South,QLD,East,16000,7,580000,358000,10800,53.70,24,4.5,Yes,31,8.0
S010,Hobart Central,TAS,South,11000,18,280000,195000,5600,50.00,10,3.8,No,20,5.2
S011,Perth North,WA,West,14500,8,410000,262000,7700,53.25,17,4.2,No,26,6.8
S012,Sydney South,NSW,East,19000,4,720000,445000,13000,55.38,30,4.8,Yes,38,9.0
S013,Melbourne West,VIC,East,15000,13,480000,310000,8900,53.93,16,4.0,No,28,6.5
S014,Canberra City,ACT,East,13000,9,390000,248000,7300,53.42,20,4.3,Yes,25,7.2
S015,Adelaide CBD,SA,South,14500,14,360000,235000,6900,52.17,13,4.0,No,23,5.9
S016,Perth East,WA,West,16000,6,470000,295000,8800,53.41,19,4.4,Yes,29,7.5
S017,Sydney North,NSW,East,17500,7,650000,400000,11800,55.08,26,4.6,Yes,34,8.3
S018,Melbourne South,VIC,East,14000,12,460000,298000,8500,54.12,17,4.1,No,27,6.7
S019,Gold Coast,QLD,East,15500,5,540000,340000,10200,52.94,27,4.7,Yes,30,8.4
S020,Darwin City,NT,North,10000,16,240000,175000,4900,48.98,8,3.7,No,18,4.8
S021,Fremantle,WA,West,12500,11,350000,228000,6700,52.24,14,4.0,No,23,6.0
S022,Newcastle,NSW,East,13500,8,420000,268000,7900,53.16,21,4.4,Yes,26,7.4
S023,Geelong,VIC,East,12000,14,380000,250000,7200,52.78,15,3.9,No,24,6.2
S024,Cairns,QLD,East,11500,10,310000,210000,6100,50.82,18,4.2,No,21,6.5
S025,Mount Gambier,SA,South,9500,20,220000,165000,4600,47.83,9,3.6,No,17,4.5
S026,Bunbury,WA,West,11000,13,295000,200000,5900,50.00,13,3.9,No,21,5.7
S027,Wollongong,NSW,East,14000,6,480000,305000,9100,52.75,23,4.5,Yes,28,7.6
S028,Ballarat,VIC,East,10500,16,270000,185000,5500,49.09,11,3.7,No,19,5.3
S029,Toowoomba,QLD,East,12500,9,360000,235000,6900,52.17,19,4.3,No,23,6.8
S030,Launceston,TAS,South,10000,17,250000,180000,5200,48.08,10,3.7,No,18,5.0
S031,Joondalup,WA,West,15500,5,485000,302000,9000,53.89,21,4.5,Yes,29,7.7
S032,Parramatta,NSW,East,18500,3,740000,455000,13500,54.81,32,4.9,Yes,39,9.2
S033,Frankston,VIC,East,13000,10,410000,268000,7800,52.56,18,4.2,No,25,6.9
S034,Sunshine Coast,QLD,East,14500,6,510000,325000,9700,52.58,26,4.6,Yes,30,8.1
S035,Whyalla,SA,South,8500,22,190000,145000,4100,46.34,7,3.5,No,15,4.2
S036,Mandurah,WA,West,12000,10,340000,223000,6600,51.52,15,4.0,No,22,6.1
S037,Central Coast,NSW,East,15000,7,540000,340000,10200,52.94,24,4.5,Yes,31,7.9
S038,Bendigo,VIC,East,11500,15,310000,212000,6300,49.21,12,3.8,No,21,5.6
S039,Mackay,QLD,East,11000,11,290000,200000,5900,49.15,16,4.1,No,20,6.3
S040,Wagga Wagga,NSW,East,9500,13,240000,172000,5000,48.00,14,3.9,No,18,5.8
S041,Rockingham,WA,West,13000,8,375000,242000,7200,52.08,17,4.2,No,24,6.6
S042,Penrith,NSW,East,16500,4,620000,385000,11500,53.91,29,4.7,Yes,33,8.6
S043,Dandenong,VIC,East,14500,9,470000,305000,8900,52.81,19,4.2,No,28,7.0
S044,Townsville,QLD,East,13500,8,410000,268000,8000,51.25,20,4.3,Yes,26,7.3
S045,Port Augusta,SA,South,8000,21,175000,135000,3900,44.87,6,3.4,No,14,4.0
